"company_id","title","location","max_salary","name","address"
11056,"DataAnalyst","Beaverton, OR","24","Insight Global","1224 Hammond Drive"
11067,"DataAnalyst","Manhattan, NY","74","Pinnacle Group, Inc.","10670 N. Central Expy"
11637,"DataAnalyst","Portland, ME","103000","WEX","1 Hancock Street"
56833,"DataAnalyst","Oklahoma City, OK","35","SSi People","401 Smith Drive"
259589,"DataAnalyst","Fort Worth, TX","65","IDR, Inc.","1120 Sanctuary Parkway"
280603,"DataAnalyst","United States","80","Harnham","Melbury House, 51 Wimbledon Hill Road"
280603,"DataAnalyst","United States","85","Harnham","Melbury House, 51 Wimbledon Hill Road"
613812,"DataAnalyst","McLean, VA","60","Avance Consulting","100 Franklin Square"
1374246,"DataAnalyst","Omaha, NE","80000","Itemize","1201 North Market Street "
2494361,"DataAnalyst","Irving, TX","62","NTT DATA Services","7950 Legacy Drive"
11789090,"DataAnalyst","Chicago, IL","75000","Municipal Employees'​ Annuity and Benefit Fund of Chicago","321 N Clark St"
67572051,"DataAnalyst","Oklahoma City, OK","38","ACL Digital","2890 Zanker Rd"
79383535,"DataAnalyst","Pittsburgh, PA","70","Akkodis",NULL
