"title","location","min_salary","currency"
"DataAnalyst","Beaverton, OR","20","USD"
"DataAnalyst","Oklahoma City, OK","30","USD"
"DataAnalyst","Oklahoma City, OK","35","USD"
"DataAnalyst","Irving, TX","48","USD"
"DataAnalyst","Fort Worth, TX","50","USD"
"DataAnalyst","McLean, VA","55","USD"
"DataAnalyst","United States","60","USD"
"DataAnalyst","United States","60","USD"
"DataAnalyst","Manhattan, NY","68","USD"
"DataAnalyst","Pittsburgh, PA","70","USD"
"BusinessDataAnalyst","United States","80","USD"
"RCMDataAnalyst","Burlington, NC","45594","USD"
"HealthcareDataAnalyst","Little Chicago, WI","54000","USD"
"MasterDataAnalyst","Akron, OH","54653","USD"
"MSSupport/VBAAccessDataAnalyst","Honolulu, HI","55000","USD"
"HealthcareDataAnalyst","San Diego, CA","62000","USD"
"DataAnalyst","Chicago, IL","65000","USD"
"SeniorDataAnalyst","Indianapolis, IN","70000","USD"
"DataAnalyst","Omaha, NE","70000","USD"
"SeniorSupplyChainDataAnalyst","Irvine, CA","76000","USD"
"DataAnalyst","Portland, ME","77500","USD"
"SeniorDataAnalyst","Memphis, TN","88700","USD"
"SeniorDataAnalyst","United States","105000","USD"
"ProductDataAnalyst","United States","108000","USD"
"SeniorDataAnalyst","San Diego, CA","115000","USD"
